Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agro-chemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manu-facturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharma-ceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Retail - excl vehicles,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale - excl vehicles,Wholesale & Retail - vehicles,Wood and wood products
Accommodation,1004.099952,2.273692499,4.542700814,1.18680669,4.989142554,0.732424379,1.934953261,2.922768058,2.636490002,0.29402024,0.668351554,2.626397013,0.999561757,0.638297304,0.384154608,0.819423182,0.428029953,1.471813478,0.465310885,1.200276547,0.650143265,0.698256603,0.720770256,0.520269165,0.377276027,0.901747011,3.094491298,0.28512265,1.060431133,2.492083294,1.052754592,0.443429256,1.385741145,0.87983027,1.653086946,0.556736294,1.514499962,0.378074033,0.443652041,0.450763926,2.365468619,0.886490907,0,0.134736133,0.857012349,0.408102745,7.309797143,0.543483436,0.81103763,1.922499571,0.71544013,0.78015943,1.17054014,0.119538377,0.437156026,0.658100168,0.586464017,0.381797747,2.106928118,0.502371482,0.358496829,0.418671989,2.866468454,0.468046001,0.468199749,0.562993485,0.304542761,0.358101536,0.422636818,2.32144779,0.467129446,0.512252002,0.438728686,0.486878346,0.468624878,0.868630648,1.203434546,0.474868216,11.8366445,4.046317795,0.480277445,0.983888161,0.581216756,0.673797888,1.601265694,1.385493943,1.029657783,0.452660476,0,9.110184798,0.238421909,0.587878417,0.28277246,2.340718437,0.549360551,1.290075167,0.957690093,0.711280592
Accounting & tax services,4.116782776,1013.89732,12.98471842,1.978909351,5.642412209,3.137663586,2.186866959,23.89580824,4.147687826,2.967849327,8.994126422,9.756019231,14.79987351,1.923315794,5.835034095,2.325904364,2.163456643,8.240095227,2.950945301,4.563361906,4.171517812,3.806279687,1.984436685,1.032735486,2.2702044,3.028190661,14.36489016,2.828299516,5.091980924,15.27878654,2.438172492,2.335045714,4.717236895,9.917650371,1.322343922,3.051761134,4.165154428,2.358353436,2.172370013,2.228532872,25.18324696,2.564101151,0,0.624348044,8.605868485,2.910993603,8.569265811,1.727857044,4.711198566,15.11244316,4.25196278,2.429429609,3.928474043,1.813584638,3.788717395,1.745518121,3.826720791,3.080034338,4.489818794,3.134706721,1.215299708,11.01299496,15.72219802,4.312777575,3.418921907,2.628686812,3.73437403,3.082730905,2.712029033,3.114154529,2.241590538,3.349111537,6.17304379,3.156507838,6.876045605,4.839506283,5.363037001,2.775862039,1.394220866,6.270561243,2.382021622,8.034434689,5.12534247,6.707098244,5.360581536,6.039317116,2.726442077,3.013875097,0,13.14472488,2.386547876,3.058309398,1.538766715,5.016996943,3.375321741,6.95609312,6.159641654,3.558216103
Advertising & market research,0.852160449,0.669456923,1003.296311,0.373974858,1.675632801,2.227681713,0.259717934,1.670878172,0.855571758,1.014939026,1.688418383,0.538621559,1.374713887,0.555097185,2.130893403,0.357165267,0.306748697,2.617388375,0.735247396,0.556529329,0.807448587,1.116424451,0.696750474,0.190225667,0.506245117,0.467909587,0.846755289,0.466192597,0.850007648,1.832195026,1.186435616,0.235412412,1.028275456,0.431898493,0.562986708,0.757345196,0.885202206,0.425288808,0.575738388,2.624456979,1.986394033,0.394821327,0,0.175269282,2.261692494,0.2877031,2.156644016,0.280650024,2.494291345,1.067991476,0.806970462,0.647949438,1.345760525,0.12943027,0.489268567,0.375558979,0.713549859,2.107317958,1.184647144,0.966430658,0.190507313,1.025923874,1.145822257,0.638496578,1.347106865,0.587611534,1.783617534,0.978477297,0.610493497,0.743227668,3.349552453,0.825656459,0.887165041,0.401783743,2.278576711,0.656067814,1.221317883,0.44155578,0.380576293,1.05242275,0.666348938,0.928774487,3.595957627,2.291695952,1.309859515,0.829650266,0.88020795,1.002012702,0,1.869204802,0.285262707,0.674228263,0.259584643,0.835674994,0.578658434,0.974042443,1.045677149,0.548897141
Agriculture,19.0392138,0.703252987,1.140484985,1113.998767,1.310462834,71.59347538,2.234992835,0.793260211,0.820710142,20.95941007,15.08046213,0.938006977,0.902219084,0.756960958,2.051454186,0.810586492,1.161164779,0.810667663,1.074115085,1.774156688,4.642865305,1.184765635,377.5102393,1.260975564,0.584745888,0.467680301,1.546694816,0.620800733,1.509322594,0.982975206,71.20866314,2.5184716,20.23343711,12.05335146,30.27962787,0.781036226,1.860846049,0.503758914,0.994855613,209.1839493,0.693006295,2.108003063,0,0.150777975,0.575623921,0.474965644,1.046767182,0.978360083,40.54073172,0.660609941,0.709057409,334.8715349,2.151111317,0.339000487,0.762836329,0.725008131,1.192507888,152.428427,0.88273218,0.555915551,0.506904923,0.445223403,0.76805199,0.575309524,0.937605976,0.806366144,6.123306202,1.017470541,0.62406204,1.023493011,0.603345167,1.145094646,0.434516006,0.502999584,0.540224244,0.817794548,0.658420112,0.941635987,3.467995615,3.198121422,4.566508662,0.527307609,12.59987063,16.22027925,2.521454182,0.95837583,0.640599971,0.852719974,0,2.232801172,1.074080594,0.995678716,0.283937451,2.651880877,0.714188642,2.794413801,1.139296991,2.441572391
Air transport,1.551894618,3.177336402,4.237674265,0.69877801,1021.141822,0.480861709,0.467552248,1.63762926,2.556803311,0.577833233,1.850620268,1.438844418,3.370394507,1.972915622,0.558370632,1.451299207,0.802462806,1.743730905,0.956075067,1.030788361,3.176010778,1.074936258,0.741996644,0.250314884,1.412084781,0.472188633,2.695752298,1.289984892,1.915713313,8.847636662,0.601540138,0.51289524,1.676433888,0.667774652,0.472545251,0.595908023,2.455203077,0.33036122,0.895513425,0.948189252,2.719111237,0.588209285,0,0.244194805,1.458445064,1.197998707,4.256549756,1.550251257,0.520398595,2.717959668,0.959158231,0.68315789,1.67245429,1.952481276,0.9759869,2.233933408,1.485199023,0.850609835,1.899614313,0.839726713,1.110319914,1.545283544,1.960220809,1.795944678,0.61004994,0.883383076,0.479643612,12.80469333,0.881513294,0.964728885,1.923037818,2.67426686,1.379670966,0.750206018,2.72565728,1.289739484,0.968142568,1.911672233,0.386193264,1.013954352,0.60925617,2.305298177,0.654202902,2.140900585,1.568807916,7.437968812,1.457423754,0.754541385,0,12.51278511,0.569119494,2.715451348,0.271461771,2.718995559,0.832455266,3.123904,2.305073144,0.552151848
Animal feeds,0.624521731,0.042782431,0.068304024,21.83312355,0.066620982,1002.857212,9.471944107,0.052347174,0.044081003,0.857805344,0.389533519,0.166339103,0.052132325,0.116241856,0.141905592,0.088327077,0.115091257,0.053515296,0.154509154,0.104667632,4.268095259,0.553910791,8.043666674,0.094973235,0.088541594,0.047707423,0.074297942,0.09564208,0.06811987,0.053966145,1.868562951,0.16368254,0.58103292,0.348653673,0.645962915,0.087690435,0.068812929,0.060452898,0.108575391,4.29183626,0.039679092,0.114077746,0,0.008440395,0.038274708,0.076362663,0.051046137,0.126601206,2.607094438,0.041295677,0.09798883,7.584822295,0.082859076,0.020168483,0.124286903,0.108568883,0.110724397,3.526764995,0.066445313,0.071716793,0.091297601,0.033628509,0.043111988,0.069883329,0.108313344,0.102357468,0.170471477,0.060905079,0.078614809,0.069843079,0.073756835,0.062452012,0.028961705,0.028512794,0.049421936,0.095049001,0.069386304,0.046658843,0.255370674,0.144308997,0.14663294,0.044950218,0.349046314,0.38200915,0.827373921,0.057261817,0.050858189,0.098333986,0,0.110932412,0.071802378,0.083041521,0.021692223,0.091131118,0.123922247,0.137129275,0.086399329,0.142236151
Aquaculture,1.32381264,0.022093155,0.047855908,0.051208294,0.060069838,0.413112803,1131.672347,0.026946583,0.024385151,0.383150746,0.068820433,0.033217705,0.025961659,0.052750405,0.031077804,0.040884019,0.047363711,0.028676401,0.081572966,0.045922581,0.102568133,0.040192592,0.067560177,0.035595034,0.043870471,0.024234605,0.032124181,0.043926317,0.037660998,0.034358596,33.03844012,0.040772177,0.965106212,0.063265999,0.023740826,0.037330244,0.056350298,0.029595753,0.050715017,0.254117806,0.023433741,0.046148661,0,0.004216766,0.020518496,0.034399839,0.041289789,0.063314486,0.05615157,0.02501808,0.047752369,0.100919181,0.039422282,0.01819597,0.056901007,0.047028468,0.04466367,0.188524344,0.038055194,0.033676094,0.042569875,0.01545119,0.02411643,0.033407326,0.041835529,0.042181585,0.026240711,0.041675057,0.044221817,0.039782754,0.034615036,0.046563899,0.009852639,0.014045232,0.023572315,0.046010198,0.036702787,0.015296709,0.09085101,0.122005685,0.031377504,0.023782478,0.338285812,0.111396217,0.041591949,0.059115472,0.027409617,0.041414198,0,0.085591744,0.03037563,0.038429442,0.011860579,1.006309527,0.057052881,0.072587834,0.040025412,0.049176813
Architectural services etc,6.787017843,19.26278637,21.32970576,3.24660064,7.530517993,6.174026499,3.540661737,1055.800403,6.509458972,5.818666026,9.15042763,23.20247552,23.26069456,4.855343859,19.7977176,6.771679915,4.851873738,23.18153864,18.33945244,23.41249105,8.738527718,8.065488693,3.52410814,3.406429573,5.194625287,7.148765865,30.47522851,6.385942668,10.04319614,13.77778016,12.64994773,4.631894955,7.39941854,4.146171109,4.126163348,5.763279538,9.040114403,5.25770959,4.501789778,4.360240654,22.72312417,13.58479011,0,4.846818254,27.45653401,5.861567907,13.37233812,4.298810919,7.934859952,13.6906865,9.01467053,4.272688208,10.22616502,3.319226643,5.070596373,4.566093523,7.22913788,6.417664136,7.755416107,5.438738456,3.005698762,9.975420608,27.17028163,14.11445179,5.397248971,4.992203307,9.626747768,8.086102019,7.781739187,6.331920909,4.333234041,6.566303054,37.50077817,12.03915139,19.13242565,10.15280589,11.08546947,7.981304273,2.25856823,7.241514362,6.251952856,11.49561974,5.183099944,8.098004024,11.33492256,12.19984575,7.986034073,5.745704644,0,25.74344655,9.425819086,17.5588612,5.641146565,9.31664881,7.040846584,9.956278988,11.8329055,5.477549594
Auxiliary financial services,0.375528521,0.889660504,0.832462537,0.233387205,1.698203363,0.279198358,0.326571886,3.184501145,1033.078705,0.304466237,0.643659294,0.930361664,1.349825181,0.75646327,0.249418584,0.55942929,0.276214485,1.616124363,0.445941325,0.784852902,0.589882551,0.320573871,0.269408882,0.21597284,0.408620716,0.309311733,1.112817127,0.522207076,0.304279934,6.487396515,0.301323172,0.28931604,0.446203587,0.367043624,0.257642544,0.380862805,0.653429828,0.229453156,0.363104483,0.272918242,0.859475607,0.340022307,0,0.182369517,1.715602174,0.31434595,8.735811829,0.596846986,0.597097584,1.085674231,0.472275305,0.30573228,0.301669502,0.199538689,0.427261478,0.926430186,0.607432693,0.348974542,0.688194813,0.349538959,0.417513702,0.864401807,1.144142478,0.545503967,0.308851606,0.385760286,0.240167696,0.587578406,0.503401026,0.577287212,0.330092535,1.010676919,0.998346988,0.397943415,0.94718703,0.530564683,0.849728867,0.628972662,0.169529903,0.563971982,0.28421892,1.069437296,0.308122944,0.627572226,0.447606656,0.612592943,0.681037478,0.290631317,0,1.197967868,0.209146046,0.891017354,0.225648925,1.547513257,0.434855987,1.071512494,0.532206034,0.329609152
Bakery & farinaceous,19.84460412,0.602088531,0.938910482,0.364735816,1.040628189,1.197042229,1.256283355,0.50237772,0.809885999,1005.478224,1.111236341,0.705538676,0.623666514,0.518254054,0.304638901,0.372696358,0.459633546,0.660293638,0.793413724,0.410703005,1.900589358,0.801091235,0.555957044,0.541403536,0.403551799,0.282793247,1.379357665,0.452854874,0.721441777,0.659722805,2.516962142,2.893642156,13.0260133,0.522670911,0.264386206,0.385036841,0.957191867,0.331426795,0.424886399,0.995453817,0.575410787,0.959520458,0,0.040633289,0.404513574,0.316347539,0.570359694,3.024101137,0.828494583,0.406305508,0.501180679,1.061905798,0.877955865,0.270249664,0.537599404,0.461005831,0.46038322,2.321577743,0.559356581,0.317811276,0.385423377,0.182940339,0.557445127,0.335662364,0.449876663,0.429828366,0.326894783,0.965306684,0.353773888,0.41551416,0.437577929,0.459026806,0.161249975,0.127139601,0.304820239,0.57109151,0.359814043,0.274328594,3.572498198,7.955938382,0.319754813,0.415569485,4.67754014,0.900559247,0.797404544,0.646619492,0.297108724,0.396579258,0,0.860513301,0.276905914,0.397396274,0.209853144,0.996428257,0.515725434,5.531097707,0.464307925,0.468979809
Beer & malt,16.68043454,0.253847061,0.374979357,0.189591124,0.408535033,0.698732413,0.245052007,0.174653257,0.182549122,0.19874836,1005.732844,0.250010355,0.20712348,0.236964521,0.138759552,0.198063127,0.182805787,0.131213716,0.440282412,0.201461932,1.189121475,0.303572382,0.241442123,0.076755697,0.175872397,0.117613832,0.371095849,0.18020749,0.417817572,0.228278995,0.255854133,0.103547512,24.75844554,0.255223336,0.159268784,0.176393625,0.850096601,0.122022699,0.176277755,0.210049839,0.189774737,0.149514682,0,0.020225538,0.115608104,0.158632532,0.269125103,0.232179499,0.208542727,0.184637066,0.209930509,0.25147764,1.443721501,0.042905088,0.238358555,0.231507265,0.173113609,0.199392359,0.163127339,0.148284658,0.179985523,0.139020465,0.203597123,0.158608532,0.184452575,0.206605584,0.09641063,0.141121322,0.160843198,0.185676474,0.127440065,0.174012883,0.086075059,0.075847218,0.105906788,0.213012947,0.173073973,0.090729941,0.578112769,0.469989133,0.138087333,0.146999212,0.190441106,12.83013666,0.417925666,0.301840095,0.144244865,0.183894438,0,0.513317697,0.093470648,0.183142902,0.05248316,0.270741503,0.243978967,0.360011359,0.16187643,0.22804113
Building & landscape services,5.75575543,4.036863247,5.804125497,0.981581182,8.561605864,0.955574562,1.256225703,8.170120496,4.122389636,0.840331822,3.024715726,1100.494858,2.57952833,1.205670388,1.29251092,1.197678465,1.289937355,18.73380698,1.989434213,4.863897178,21.61926951,38.28974399,0.963576612,6.141499415,1.042960019,1.585470474,2.52648233,0.992818619,10.07682083,6.386159619,1.108506595,0.949204874,5.839485909,1.591780681,1.58216818,1.192226319,6.882103281,1.030852466,1.209052337,0.954624354,22.2930047,3.516937054,0,0.462690233,12.1144318,1.310412254,6.493321326,1.773562463,2.220650335,5.436708706,1.71153228,0.972293454,7.929695332,1.037203952,1.278338403,1.149788916,1.540792651,0.927333724,5.423094594,1.141535771,1.021904333,8.502387636,17.92797579,2.75405597,1.277534776,1.470831393,1.788030862,3.870288587,1.644452651,6.679111943,1.386682268,3.71304488,8.72148361,3.31189345,4.410105643,2.98400558,3.438916732,6.872104658,2.386119669,4.496757853,2.658354831,11.43173429,1.612025414,3.396343786,24.90227149,5.06330681,2.542751486,1.187550295,0,7.859647176,10.26455051,37.26883992,1.00077809,3.899787945,1.346114292,6.629979668,4.598061914,1.325161009
Business support services,0.945482914,0.915585197,1.685271017,0.313550453,1.031477088,0.371455321,0.283765129,2.265575249,1.253070184,0.249706206,0.558082801,1.101683087,1014.8702,0.351240635,0.363871485,0.313924247,0.388623403,5.630789492,0.610878926,0.874857236,0.915092297,1.899091809,0.293591497,0.742998951,0.328804166,0.386047458,0.39108793,0.269304955,2.970526344,2.346383623,0.69460505,0.229255312,0.925343395,0.38107748,0.287222427,0.36971124,2.005026336,0.400805871,0.315754398,0.327956388,5.686470858,0.487211969,0,0.101333117,4.533936232,0.37260116,1.75710669,0.365236572,0.407387959,1.284316452,0.502807669,0.284059624,1.479558813,0.156700491,0.3704992,0.385047509,0.432600802,0.323621826,1.40571573,0.341153519,0.245787192,1.513548118,4.122063231,0.723952092,0.373570002,0.412639833,0.432160088,1.092145016,0.42120028,1.363914455,0.373420835,0.74871842,0.585835844,0.434527615,1.625882534,0.433813689,1.212790063,3.527914361,0.487995981,0.885655885,0.289784865,1.745453962,0.471663653,0.583114698,1.948292179,1.246449909,0.714827348,0.351244931,0,1.945588659,0.511799073,2.78509719,0.254521158,0.780622005,0.402586663,1.763057517,1.067613208,0.499079658
Cement lime & plaster,0.284229203,0.312215147,0.547681159,1.165808305,0.549418267,0.390760213,0.721911717,0.335550045,0.222313067,0.35101072,1.284157797,0.703948268,0.230506018,1048.627755,0.400923626,1.054825192,0.286208679,0.243162261,0.370579263,21.06698204,2.135389085,2.87857728,0.589538715,1.369414236,0.337146845,0.440678179,0.439236967,0.536070085,0.757880587,0.463362554,0.510216154,0.613574218,0.432783389,3.271623875,0.787163799,0.395566158,0.367565585,0.874803809,2.440055338,0.493011055,0.19912775,0.440369355,0,0.89963183,0.211981924,0.636744924,0.663870542,1.601691058,0.469053829,0.265850705,0.408462996,0.575777563,1.18333516,0.400128739,0.470383508,12.18490546,0.443226045,0.49272858,0.460342009,0.523614973,0.391249905,0.396652766,0.273828527,0.547886458,0.383299099,0.388053114,0.174356748,0.376770463,0.314398766,1.175458707,0.260208179,2.513132306,0.273385708,2.672325835,0.276951673,0.381308756,0.230078243,0.159589927,0.359338311,1.109064973,0.473887514,0.250947714,0.604163313,0.850429313,4.616917585,0.955953197,1.114762088,0.268693309,0,1.16024471,0.267839746,2.387878449,0.919993182,0.475194213,0.252363755,1.2539364,0.367976178,0.925808594
Cleaning & toilet preparations,0.286220911,0.074201335,0.318461955,0.626108195,0.242610802,0.167075415,0.305733962,0.117318908,0.106443074,0.323687576,0.153478048,2.871540132,0.151955676,0.155674314,1003.878218,0.118642538,0.27683256,0.158850316,0.182701142,0.229576624,0.323983853,0.431249431,0.387074524,0.339063506,0.114184171,0.063379603,0.200084969,0.1327938,0.15988582,0.087706278,0.240215924,0.199482887,0.281445684,0.248117872,0.1898284,0.111230895,0.173101013,0.065823021,0.139568509,0.229258997,0.09580281,0.295694017,0,0.013603746,0.073221436,1.073990309,0.084731691,0.177198961,0.252059465,0.06967373,0.133363464,0.294065271,0.227949186,0.025887345,0.162609639,0.12433913,0.761619058,0.211188356,0.192250216,0.102286766,0.12790473,0.930890108,0.119597137,0.129278856,1.2642628,0.264043623,0.073752229,0.118540623,0.156523985,0.200641729,0.093430535,0.193482062,0.050012617,0.05385831,0.092741078,0.137775914,0.087172722,0.501710585,0.582567094,0.196264227,0.189410404,0.109910916,0.506673866,0.190914317,0.362921054,0.126258698,0.068931348,0.463142589,0,0.11335871,0.394990202,0.500190083,0.181140184,0.088433009,0.157848824,0.177422276,0.385182267,0.189233589
Coal & lignite,0.34864931,0.287110169,0.357003144,0.53980611,0.388280106,1.265279423,2.451321435,0.332111464,0.449955308,0.810424134,0.740135696,0.321890618,0.185378129,2.85932021,0.35556331,1027.160542,1.872473915,0.329756163,0.410948297,0.707934952,0.370049081,0.681122857,0.610596959,0.466041421,0.777878945,42.30732324,0.228978585,1.131877797,0.176157827,0.296047814,0.812555168,1.341387977,0.361573915,0.811561678,0.61851257,0.685354348,0.184999937,1.884554881,1.370475587,0.668108197,0.166692391,0.415964215,0,0.328124683,0.33988121,1.556021766,0.261078686,1.463952507,0.901877306,0.236946023,1.175078134,0.879089754,0.249868517,0.279130209,0.423483815,1.734798214,0.992754602,1.468107078,0.506587355,0.491319096,1.104793114,0.571263046,0.174373868,0.875553358,0.45129929,2.641709185,0.582390163,0.316007438,0.701688704,0.467430331,0.324789084,1.398021191,0.150522604,0.20770538,0.567212682,0.571399556,0.306141002,0.191399702,0.258475379,0.405368792,0.752487765,0.155286379,0.534845171,0.66445656,2.672524869,0.327789195,0.310935588,0.751749739,0,0.769350975,0.384500515,0.737077852,0.320616088,0.231779459,0.447052207,0.457765574,0.350173409,0.927906861
"Coke, petroleum & petrochemicals",5.622937894,2.901612225,3.858974568,11.75273062,29.31105478,9.24599996,6.13136065,4.826103067,2.813562644,8.231208387,8.81905746,3.517706088,1.815833096,14.59466434,14.77469262,17.21320672,1060.084084,2.491456706,6.34704202,6.608399403,5.502456832,2.791915956,10.60046038,2.769052367,19.05604724,10.74099671,2.2235951,10.7884257,2.045456902,4.281187227,10.5897033,35.52125158,4.106793889,18.27992907,14.35690159,18.60727374,2.864591449,3.492691953,22.07834879,7.043204628,1.383111528,2.976800372,0,0.547260795,2.713003167,30.57177629,2.399242199,15.13715464,15.69968695,2.379450251,7.663389328,8.559895457,2.882541917,2.650578476,11.74186144,13.47692864,30.68271282,6.066702779,36.5063999,5.219951886,5.126975199,2.659361086,2.488179076,6.669911377,47.48703295,22.07921642,5.494483155,4.364052578,7.076526281,3.989014559,3.467560578,8.731159581,1.594585175,1.562496798,3.726375735,5.844109482,3.347278404,4.115453514,2.225417938,4.241849099,43.71188447,1.919468873,7.796239088,7.933554672,3.416846697,3.349684763,6.152151638,25.266469,0,9.860481266,3.342265093,5.767674615,3.512475281,9.722123949,6.570275194,11.26806072,5.435427983,17.68282925
Computer services,3.562730929,6.149709957,8.799859038,2.10128961,13.04007263,3.545124238,1.50090578,12.69489758,14.37537894,2.466954139,5.921169156,5.348612053,8.652913003,2.116160084,2.715866354,3.168892484,1.977822018,1013.144486,4.467692349,3.153995193,11.91755081,4.799754147,1.928759893,2.559808275,2.136501321,4.625700736,8.693264325,2.343397558,4.813481778,12.89710447,2.084456143,1.723135898,4.587225283,2.153716681,1.550427531,2.257885972,3.016441879,2.718346062,2.141979319,1.947582975,10.49064306,5.151589863,0,0.517595695,12.81328329,2.233871447,8.619234556,2.251115233,2.745385698,4.5825456,2.918695083,2.09110071,3.505976174,1.547635109,3.064136083,2.695329694,3.529228325,3.431397175,5.885785552,3.030637818,1.569883929,5.75926983,5.63292293,7.043770233,3.575080765,2.409511944,2.697013186,8.976637246,2.992217772,6.27143849,2.627042764,5.941553035,6.289996513,2.934324992,4.583077784,4.373107976,6.336543188,3.278144984,1.969988657,3.687377678,1.682080829,5.207066483,3.002795951,4.511611788,6.17350246,3.75330961,7.158261338,2.009772215,0,17.68919111,2.441471517,4.143250026,3.265016683,7.145457624,2.012569734,4.907113303,5.162568749,2.457784563
"Computers, electronics & opticals",3.305997102,2.891913,5.885491485,6.997295318,9.454884933,7.831421036,21.8422215,5.94931444,4.921692722,7.789384199,17.22383444,4.132486871,3.24385932,9.498335645,11.40879818,38.31463831,11.04764248,11.24115846,1075.766441,22.30793525,8.040344435,13.7845411,9.397559834,3.425476087,41.03845647,13.7827383,3.535879201,15.13913756,4.114040084,4.237223721,12.73609049,29.4612215,4.0392246,13.95475065,10.09952116,7.72869342,4.091474848,6.384029866,10.89170128,11.04667788,2.935683143,13.01545232,0,1.394819383,6.661808156,8.477529876,4.10580704,15.88068449,7.549849905,3.382078471,40.08476334,8.514145821,3.47396434,8.196678135,29.63224137,12.08894612,13.89310702,7.616766229,7.97248631,32.15592215,12.89165763,4.387127576,3.72010617,58.87421158,14.01008534,9.764838403,4.781815696,3.478920201,8.1012073,11.71714778,7.618524328,8.141885647,3.179311563,4.591999105,6.092077982,54.03967323,32.64829439,8.625834806,2.868576948,3.573560673,16.18011451,3.320500576,15.2299703,11.59818159,8.625448096,7.282538888,19.06096939,7.525240927,0,10.36805323,11.39908667,7.166515636,4.364810202,10.11080932,5.915880404,6.502367474,9.230458864,25.54409864
Construction,9.62094948,13.41194274,15.60964178,9.325434514,24.1195133,10.98315977,34.28120516,12.89548612,9.346642454,12.91465004,16.14373179,7.60681703,5.189836386,9.035253725,4.63118671,29.42047805,8.542436915,7.485778542,4.816140921,1255.829272,15.90897094,35.34077401,6.906848441,8.695633124,5.015180193,17.74615611,9.308994586,11.63620515,5.778136631,22.2142939,9.958717937,31.22762321,16.3103592,28.95448328,34.16881695,12.25672483,7.934381959,48.0973602,7.439732933,11.23819133,8.109949347,10.68371865,0,52.84665626,8.081728337,7.760556283,33.92141876,11.83095933,16.90832991,11.90837825,9.372172185,10.06272572,8.898521561,21.35122697,5.746607138,13.32959811,9.699224679,11.17032278,15.66489224,9.815553854,8.263658499,12.81813025,8.27083527,17.22869801,6.000669745,9.595552682,5.138079026,13.86628752,11.17937561,33.91202143,9.213233745,14.32357199,13.20554302,149.9250367,11.03100191,9.929391832,6.14425862,5.36776891,5.16419682,55.21013001,6.66463564,7.721244699,9.56998749,13.84889579,24.69136413,37.42808751,59.9403815,8.332256868,0,47.79593955,10.2179378,45.08687714,24.97087627,23.07170664,7.097894764,31.38325072,11.81310952,14.6812718
Creative services,0.061044009,0.018466166,0.270712256,0.006356509,0.026004883,0.016267486,0.007021946,0.061610361,0.024364358,0.012566752,0.019396218,0.018155407,0.071506119,0.009572497,0.015637711,0.013698023,0.005203928,0.025905017,0.01541368,0.012973311,1012.566692,2.484503003,0.008230026,0.124008418,0.008993254,0.010156996,0.067232325,0.011771876,1.631006646,0.07106996,0.011735934,0.006314155,0.057807968,0.044541105,0.09102205,0.011892063,0.023164291,0.007903708,0.011896394,0.018790451,0.057530142,0.020495311,0,0.002786519,0.024984662,0.009454211,0.027126123,0.013917571,0.018907051,0.02192948,0.012739216,0.009702969,0.199421757,0.003439497,0.008482175,0.009511335,0.014761062,0.018609082,0.02255809,0.012526366,0.008307703,0.053104066,0.025879988,0.014309659,0.013116873,0.016528012,0.015384179,0.048386398,0.247190057,0.624564434,1.577617008,0.01603697,0.015505221,0.026443113,0.017461849,0.019232575,0.015247539,0.015958466,0.372163133,0.013427814,0.009147592,0.013258125,0.021670484,0.021249845,2.711659402,0.015030323,0.043264932,0.013774246,0,0.08381214,0.009289253,0.418210634,0.011252713,0.016328002,0.009455414,0.016522979,0.013707486,0.015179924
Cultural services,0.02843267,0.352441175,1.019168751,0.014092097,0.317351813,0.045738272,0.016192585,0.201809077,0.04815935,0.034500785,0.05275775,0.040960736,0.176796621,0.021465717,0.045436202,0.028404397,0.012325704,0.067994913,0.029196901,0.031219408,2.056416293,1014.649929,0.021960547,0.279022493,0.02208946,0.025143518,0.59756138,0.029332289,0.312654268,0.063253905,0.034533832,0.017740009,0.034201245,0.098213556,0.17842069,0.028319579,0.042583492,0.020956565,0.027654853,0.051059559,0.102589456,0.068083131,0,0.005411819,0.06506817,0.024061526,0.13235651,0.028988309,0.054180196,0.061705207,0.032987784,0.02573266,0.282291318,0.006574231,0.021419941,0.020419863,0.036339955,0.049073514,0.057514629,0.030093952,0.01774905,0.066660844,0.077420954,0.033176617,0.035252505,0.036733619,0.045459891,0.040108247,0.227516452,1.880037547,6.515378746,0.032000146,0.03572558,0.071124247,0.047898201,0.06769438,0.044454041,0.035150765,0.378167952,0.032235816,0.023328159,0.040331822,0.063780374,0.058638081,6.227026873,0.040003186,0.027611073,0.034663597,0,0.15691869,0.022605381,0.786328403,0.02894133,0.034008897,0.023885853,0.041453408,0.033577984,0.034709806
